term,brd & ggp & panc,brd & ggp & kras-mapk,panc & ggp & kras-mapk,brd & ggp & kras-mapk & panc,panc & ggp & kras-mapk set,brd & ggp set,GGP & Panc connection,BRD & GGP connection,,,,,,,,,,,,,,,,,,,,,,,,,
annexin v,0,0,12,0,"{30347681, 32707717, 18430374, 20717927, 21799944, 30372904, 19801102, 35260176, 25875797, 36076598, 32110045, 27878398}","{26878912, 29899872, 33888130, 36908321, 30308485, 23249862, 29561307, 30552662, 28024472, 34097087, 31523195, 34733788, 34565342, 32266878, 31632543}",annexin staining assay,,nac,,,,,,,p65,imd 0354,HY-L025-6,B09,HY-10172,IMD-0354,IKK2 Inhibitor V,978-62-1,383.67,IKK,NF-κB,IMD-0354 (IKK2 Inhibitor V) is a selective IKKβ inhibitor which inhibits NF-κB activity[1]. IMD0354 inhibits TNF-α induced NF-κB transcription activity with an IC50 of 1.2 uM[2].,C15H8ClF6NO2,H2O : < 0.1 mg/mL (ultrasonic;warming;heat to 60°C) (insoluble); DMSO : ≥ 100 mg/mL (260.64 mM),10mM,Cancer,No Development Reported,O=C(NC1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)C2=CC(Cl)=CC=C2O
cell fate,0,0,12,0,"{25566081, 30014851, 22056382, 26909576, 28188746, 25894862, 31534224, 29452147, 28178232, 29289465, 17488476, 26716510}","{28626565, 30655386, 20493850, 26646171, 35264162, 34037670, 30227759, 30428346, 34293822, 26119999, 37059907, 34910919, 36256455, 34341073, 35799890, 33490899, 37108181, 37207130, 30139998, 25036774, 20181741, 33736688, 34146546, 26546038, 27651452}", ,,#N/A,,,,,,,p65,myricetin,HY-L025-49,D10,HY-15097,Myricetin,Cannabiscetin,529-44-2,318.24,Apoptosis; Autophagy; Endogenous Metabolite,Apoptosis; Autophagy; Metabolic Enzyme/Protease,"Myricetin is a common plant-derived flavonoid with a wide range of activities including strong anti-oxidant, anticancer, antidiabetic and anti-inflammatory activities.",C15H10O8,DMSO : ≥ 31 mg/mL (97.41 mM); Ethanol : 28.57 mg/mL (89.78 mM; Need ultrasonic),10mM,Cancer,No Development Reported,OC1=CC(O)=C(C(C(O)=C(C2=CC(O)=C(O)C(O)=C2)O3)=O)C3=C1
mcl 1,0,1,12,0,"{35604033, 28160167, 19288493, 15956974, 28765935, 30142009, 19523441, 25875797, 37030295, 30214681, 30261145, 35884957}","{28950657, 29709701, 28415755, 35041430, 31993368, 32161312, 35921705, 33154093, 29287727, 34959030, 34062779, 29156797, 31653826, 26627013, 28024402, 35132755, 35332309, 25564254, 33945824, 35261801, 35153769, 32156781, 29290992, 29764852, 29914872}","see ""mcl"" above",,at 101,,,,,,,p65,matrine,HY-L025-72,G08,HY-N0164,Matrine,Matridin-15-one; Vegard; α-Matrine,519-02-8,248.36,Apoptosis; Autophagy; Ferroptosis; Mitophagy; Opioid Receptor,Apoptosis; Autophagy; GPCR/G Protein; Neuronal Signaling,"Matrine (Matridin-15-one) is an alkaloid found in plants from the Sophora genus that can act as a kappa opioid receptor and u-receptor agonist. Matrine has a variety of pharmacological effects, including anti-cancer, anti-oxidative stress, anti-inflammation and anti-apoptosis effects. Matrine is potential in the research of disease like human non-small cell lung cancer, hepatoma, papillary thyroid cancer and acute kidney injury (AKI)[1][2][3][4][5].",C15H24N2O,H2O : 20 mg/mL (80.53 mM; Need ultrasonic); DMSO : ≥ 50 mg/mL (201.32 mM),10mM,Cancer; Inflammation/Immunology,Launched,O=C1CCC[C@]2([H])[C@@]3([H])CCCN4[C@@]3([H])[C@](CCC4)([H])CN21
ccnd1,0,1,12,0,"{16382049, 33505218, 17233604, 35302596, 28860807, 35472201, 11751405, 32972302, 27919956, 20113529, 19860666, 22188669}","{32828291, 34199844, 36755269, 36530982, 24657799, 35969736, 31631721, 34586831, 27440272, 29545201, 19706770, 30305939, 31594641, 36923952, 34385584, 31036508}",CCND1 frequently mutated in PDAC (35302596),,resveratrol,,,,,,,stat,ag490,HY-L025-22,A04,HY-12000,AG490,Tyrphostin AG490; Tyrphostin B42,133550-30-8,294.3,Autophagy; EGFR; JAK; STAT,Autophagy; Epigenetics; JAK/STAT Signaling; Protein Tyrosine Kinase/RTK; Stem Cell/Wnt,"AG490 (Tyrphostin AG490) is a tyrosine kinase inhibitor that inhibits EGFR, Stat-3 and JAK2/3.",C17H14N2O3,DMSO : ≥ 50 mg/mL (169.89 mM),10mM,Cancer,No Development Reported,O=C(NCC1=CC=CC=C1)/C(C#N)=C/C2=CC=C(O)C(O)=C2
akt2,0,1,12,0,"{23384775, 17018633, 23441129, 25748236, 15811853, 16549325, 25736685, 31907951, 18949011, 27919956, 27210037, 23232026}","{27297869, 29997232, 32877461, 33158843, 29931583, 25793663}","AKT2 is a common oncogene, similar to KRAS (31907951)",,ly294002,,,,,,,stat,wp1066,HY-L025-51,C07,HY-15312,WP1066,,857064-38-1,356.22,Apoptosis; JAK; STAT,Apoptosis; Epigenetics; JAK/STAT Signaling; Protein Tyrosine Kinase/RTK; Stem Cell/Wnt,"WP1066 is an inhibitor of JAK2 and STAT3, and also shows effect on STAT5 and ERK1/2, without affecting JAK1 and JAK3.",C17H14BrN3O,DMSO : ≥ 44 mg/mL (123.52 mM); Ethanol : 16.67 mg/mL (46.80 mM; Need ultrasonic),10mM,Cancer,Phase 1,O=C(N[C@H](C1=CC=CC=C1)C)/C(C#N)=C/C2=NC(Br)=CC=C2
proliferative activity,0,1,12,0,"{37236000, 11950919, 26915435, 11180876, 14508142, 23915247, 12692724, 27878398, 8381655, 10909469, 29490942, 10626015}","{34995979, 27580186, 34175898, 32735909, 28653353, 35264812, 33575085, 34729902, 34816823, 32361153, 36500678, 35031886, 29434197, 31527644, 35569250, 30926312, 28750570, 33520370, 24009722}", ,,#N/A,,,,,,,stat,cyt387,HY-L025-14,B06,HY-10962,Momelotinib sulfate,CYT387 (sulfate salt),1056636-06-6,610.62,Apoptosis; Autophagy; JAK,Apoptosis; Autophagy; Epigenetics; JAK/STAT Signaling; Protein Tyrosine Kinase/RTK; Stem Cell/Wnt,"Momelotinib sulfate (CYT387 sulfate salt) is an ATP-competitive inhibitor of JAK1/JAK2 with IC50 of 11 nM/18 nM, 10-fold selectivity versus JAK3 (IC50=155 nM).",C23H26N6O10S2,DMSO : 220 mg/mL (360.29 mM; Need ultrasonic); H2O : 100 mg/mL (163.77 mM; Need ultrasonic),10mM,Cancer,Phase 3,O=C(NCC#N)C(C=C1)=CC=C1C2=NC(NC(C=C3)=CC=C3N4CCOCC4)=NC=C2.O=S(O)(O)=O.O=S(O)(O)=O
cancer pathogenesis,0,0,12,0,"{33077732, 22860230, 24847881, 22020907, 21968429, 29452147, 12054612, 27911862, 35242873, 12878815, 26747707, 24518495}","{21164480, 35226658, 31420359, 33934351, 31801551, 36512624, 35568976, 29263030, 36227159, 27917784}", ,,#N/A,,,,,,,stat,piceatannol,HY-L025-35,H10,HY-13518,Piceatannol,Astringenin; trans-Piceatannol,10083-24-6,244.24,Apoptosis; Autophagy; Endogenous Metabolite; Syk,Apoptosis; Autophagy; Metabolic Enzyme/Protease; Protein Tyrosine Kinase/RTK,Piceatannol is a well-known Syk inhibitor and reduces the expression of iNOS induced by TNF. Piceatannol is an effective agent for research of acute lung injury (ALI)[1]. Piceatannol is a naturally occurring polyphenolic stilbene found in various fruits and vegetables and exhibits anticancer and anti-inflammatory properties[2]. Piceatannol induces apoptosis in DLBCL cell lines[3]. Piceatannol induces autophagy and apoptosis in MOLT-4 human leukemia cells[4].,C14H12O4,DMSO : ≥ 31 mg/mL (126.92 mM); H2O : 1 mg/mL (4.09 mM; Need ultrasonic),10mM,Cancer,No Development Reported,OC1=CC=C(/C=C/C2=CC(O)=CC(O)=C2)C=C1O
drug discovery,0,0,12,0,"{31816384, 25566081, 35167298, 34499267, 27248578, 31075266, 9383573, 23682805, 34558391, 33759222, 23698361, 36765914}","{30304769, 29657099, 30175757, 33616410, 35716125, 30165024, 33420321, 36711980, 36160045, 35084845, 33749556, 37083703, 35610180, 33780296, 32502863, 36841551, 36202064, 25849938, 28024402, 36577875, 30414936, 35020376, 35758684, 27890782, 33460833, 31246451, 31582847, 35266690, 32977027, 35357834, 30040205, 35041430, 36908700, 26924192, 28849824, 33922725, 28786345, 34520747, 35930799, 29148850, 22277300, 31059647, 30542529, 24751816, 37150933, 29068506, 28365532, 36695774, 29883107, 28714212, 34591474, 27193077, 29083896, 32893690, 23530754, 23566090, 30369550, 29581585, 28439316, 30421269, 35397401, 33685790, 27243809, 31776034, 34898210, 35324195, 36323630, 36053294, 35052850, 34816823, 31461688, 30289209, 30998845, 36202813, 34364223, 37142850, 30979914, 34232650, 30613330, 29864276, 30685526, 26707800, 27295577, 30938974, 25452384, 30327139, 26798447, 28939121, 34994556, 34791293, 36536188, 25559428, 34450309, 33513350, 34612618, 28195723, 26253201, 27559828, 29578648, 33333161, 27367338, 26396593, 32338867, 36215732, 36917685, 35432890, 22498752, 30634442, 28161994, 26869194, 30607314, 32968148, 31549911, 31580635, 26099177, 30378479, 26629616, 27806195, 36345338}", ,,#N/A,,,,,,,stat,methotrexate,HY-L025-44,G05,HY-14519A,Methotrexate (disodium),Amethopterin (disodium); CL14377 (disodium); WR19039 (disodium),7413-34-5,498.4,ADC Cytotoxin; Antifolate; Apoptosis; Bacterial; DNA/RNA Synthesis,Antibody-drug Conjugate/ADC Related; Anti-infection; Apoptosis; Cell Cycle/DNA Damage,"Methotrexate (Amethopterin) disodium, an antimetabolite and antifolate agent, inhibits the enzyme dihydrofolate reductase, thereby preventing the conversion of folic acid into tetrahydrofolate, and inhibiting DNA synthesis. Methotrexate disodium, also an immunosuppressant and antineoplastic agent, is used for the research of rheumatoid arthritis and a number of different cancers (such as acute lymphoblastic leukemia)[1][2][3].",C20H20N8Na2O5,DMSO : 5 mg/mL (10.03 mM; ultrasonic and warming and adjust pH to 5 with HCl and heat to 60°C); H2O : 50 mg/mL (100.32 mM; Need ultrasonic),10mM,Cancer; Inflammation/Immunology,Launched,NC1=NC(N)=C2C(N=CC(CN(C)C3=CC=C(C(N[C@@H](CCC(O[Na])=O)C(O[Na])=O)=O)C=C3)=N2)=N1
pluripotency,0,0,12,0,"{26199979, 27624879, 24880079, 21304978, 22469842, 26451606, 34859959, 24040120, 28445593, 25841238, 34657147, 23407711}","{25684227, 34520583, 30230537, 36161929, 34146702, 28026145, 28588073, 25146928, 31287992, 30428346, 37066171, 26405693, 25263550, 34293822, 30765888, 32989249, 25393219, 30924611, 26974661, 36332631, 29505757, 31235934, 29662175, 29662177, 34035299, 33190371, 25312495, 27498864, 35715442, 30510198, 36658808, 26847871}", ,,#N/A,,,,,,,stat,resveratrol,HY-L025-56,C11,HY-16561,Resveratrol,trans-Resveratrol; SRT501,501-36-0,228.24,Antibiotic; Apoptosis; Autophagy; Bacterial; Fungal; IKK; Keap1-Nrf2; Mitophagy; Sirtuin,Anti-infection; Apoptosis; Autophagy; Cell Cycle/DNA Damage; Epigenetics; NF-κB,"Resveratrol (trans-Resveratrol; SRT501), a natural polyphenolic phytoalexin that possesses anti-oxidant, anti-inflammatory, cardioprotective, and anti-cancer properties. Resveratrol (SRT 501) has a wide spectrum of targets including mTOR, JAK, β-amyloid, Adenylyl cyclase, IKKβ, DNA polymerase. Resveratrol also is a specific SIRT1 activator[1][2][3][4]. Resveratrol is a potent pregnane X receptor (PXR) inhibitor[5]. Resveratrol is an Nrf2 activator, ameliorates aging-related progressive renal injury in mice model[6]. Resveratrol increases production of NO in endothelial cells[7].",C14H12O3,DMSO : 100 mg/mL (438.14 mM; Need ultrasonic); Ethanol : 50 mg/mL (219.07 mM; Need ultrasonic),10mM,Cancer; Infection; Inflammation/Immunology,Launched,OC1=CC=C(/C=C/C2=CC(O)=CC(O)=C2)C=C1
tumor maintenance,0,0,12,0,"{34117030, 27477511, 24954535, 22952903, 22232209, 23622131, 34531315, 34921013, 30470748, 22541435, 32341020, 35018527}","{23950209, 25553514, 32999044, 24065765}", ,,#N/A,,,,,,,stat,matrine,HY-L025-72,G08,HY-N0164,Matrine,Matridin-15-one; Vegard; α-Matrine,519-02-8,248.36,Apoptosis; Autophagy; Ferroptosis; Mitophagy; Opioid Receptor,Apoptosis; Autophagy; GPCR/G Protein; Neuronal Signaling,"Matrine (Matridin-15-one) is an alkaloid found in plants from the Sophora genus that can act as a kappa opioid receptor and u-receptor agonist. Matrine has a variety of pharmacological effects, including anti-cancer, anti-oxidative stress, anti-inflammation and anti-apoptosis effects. Matrine is potential in the research of disease like human non-small cell lung cancer, hepatoma, papillary thyroid cancer and acute kidney injury (AKI)[1][2][3][4][5].",C15H24N2O,H2O : 20 mg/mL (80.53 mM; Need ultrasonic); DMSO : ≥ 50 mg/mL (201.32 mM),10mM,Cancer; Inflammation/Immunology,Launched,O=C1CCC[C@]2([H])[C@@]3([H])CCCN4[C@@]3([H])[C@](CCC4)([H])CN21
nanog,0,1,12,0,"{20173672, 28381547, 35103981, 24026351, 27624879, 24880079, 21304978, 29222037, 26451606, 34859959, 24040120, 26939902}","{36173569, 35264162, 25393219, 29505757, 29662175, 36539402, 25146928, 23374840, 30428346, 37066171, 27835869, 26847871}","nanog related to stem cells, an important cancer target (35103981)",,ly294002,,,,,,,stat,niclosamide,HY-L025-68,E03,HY-B0497,Niclosamide,BAY2353,50-65-7,327.12,Antibiotic; Parasite; STAT,Anti-infection; JAK/STAT Signaling; Stem Cell/Wnt,"Niclosamide (BAY2353) is an orally active antihelminthic agent used in parasitic infection research[1]. Niclosamide is a STAT3 inhibitor with an IC50 of 0.25 μM in HeLa cells[4]. Niclosamide has biological activities against cancer, inhibits DNA replication in Vero E6 cells[2][3][5].",C13H8Cl2N2O4,DMSO : 4.55 mg/mL (13.91 mM; Need ultrasonic); DMF : 5 mg/mL (15.28 mM; Need ultrasonic); H2O : < 0.1 mg/mL (ultrasonic;warming;heat to 60°C) (insoluble),10mM,Infection; Cancer,Launched,O=C(NC1=CC=C([N+]([O-])=O)C=C1Cl)C2=CC(Cl)=CC=C2O
tumor immunity,0,0,12,0,"{35571489, 33316775, 15072584, 35154474, 37187730, 37191859, 32961746, 26182900, 23422836, 36319832, 30252570, 32424701}","{35517410, 28423491, 34865122, 35902886, 30958600, 35755278, 30943407, 27626654}", ,,#N/A,,,,,,,stat,curcumin,HY-L025-71,F04,HY-N0005,Curcumin,Diferuloylmethane; Natural Yellow 3; Turmeric yellow,458-37-7,368.38,Autophagy; Epigenetic Reader Domain; Ferroptosis; Histone Acetyltransferase; Influenza Virus; Keap1-Nrf2; Mitophagy,Anti-infection; Apoptosis; Autophagy; Epigenetics; NF-κB,"Curcumin (Diferuloylmethane), a natural phenolic compound, is a p300/CREB-binding protein-specific inhibitor of acetyltransferase, represses the acetylation of histone/nonhistone proteins and histone acetyltransferase-dependent chromatin transcription. Curcumin shows inhibitory effects on NF-κB and MAPKs, and has diverse pharmacologic effects including anti-inflammatory, antioxidant, antiproliferative and antiangiogenic activities. Curcumin induces stabilization of Nrf2 protein through Keap1 cysteine modification.",C21H20O6,DMSO : 100 mg/mL (271.46 mM; Need ultrasonic),10mM,Cancer,Phase 4,O=C(CC(/C=C/C1=CC=C(O)C(OC)=C1)=O)/C=C/C2=CC=C(O)C(OC)=C2
pca,0,0,12,0,"{30007968, 36090050, 27779106, 15084968, 18693168, 23887057, 24469904, 26762195, 9821175, 26077591, 19896093, 32762399}","{26940039, 32657160, 27783056, 30272279, 31559706, 31253147, 34493733, 25908785, 35185589, 25432503, 33024699, 32333502, 32917955, 31901895, 33718091, 34323404, 29346775, 36963289, 27223260, 30565725, 30655838, 28636389, 30921702, 35349486, 27550065, 34403195}", ,,#N/A,,,,,,,stat,tofacitinib,HY-L025-63,D09,HY-40354A,Tofacitinib (citrate),Tasocitinib (citrate); CP-690550 (citrate),540737-29-9,504.49,Apoptosis; Bacterial; Fungal; Influenza Virus; JAK,Anti-infection; Apoptosis; Epigenetics; JAK/STAT Signaling; Protein Tyrosine Kinase/RTK; Stem Cell/Wnt,"Tofacitinib citrate is an orally available JAK1/2/3 inhibitor with IC50s of 1, 20, and 112 nM, respectively. Tofacitinib citrate has antibacterial, antifungal and antiviral activities.",C22H28N6O8,DMSO : 28.57 mg/mL (56.63 mM; Need ultrasonic); H2O : 3.33 mg/mL (6.60 mM; Need ultrasonic),10mM,Cancer; Infection; Inflammation/Immunology,Launched,O=C(CC#N)N1C[C@H](N(C2=C3C(NC=C3)=NC=N2)C)[C@H](C)CC1.O=C(CC(C(O)=O)(O)CC(O)=O)O
phosphatidylinositol 3,0,0,11,0,"{26725216, 22462691, 20807812, 14559813, 17974973, 17353198, 15313904, 15572689, 15073105, 15289335, 10781373}","{32599680, 32917124, 33596421, 33596424, 34751372, 30134175, 36682147, 30537514, 34875179, 34638508, 32694708, 36891574, 30933440, 26992199, 34688842, 29133261, 24836559, 17178852, 29475942, 33520370, 30136059}", ,,ly294002,,,,,,,stat,ruxolitinib,HY-L025-64,A05,HY-50858,Ruxolitinib (phosphate),INCB018424 phosphate,1092939-17-7,404.36,Autophagy; JAK; Mitophagy,Autophagy; Epigenetics; JAK/STAT Signaling; Protein Tyrosine Kinase/RTK; Stem Cell/Wnt,"Ruxolitinib phosphate (INCB018424 phosphate) is a potent JAK1/2 inhibitor with IC50s of 3.3 nM/2.8 nM, respectively, showing more than 130-fold selectivity over JAK3.",C17H21N6O4P,DMSO : ≥ 31 mg/mL (76.66 mM); H2O : 10 mg/mL (24.73 mM; Need ultrasonic),10mM,Cancer,Launched,N#CC[C@H](C1CCCC1)N2N=CC(C3=C4C=CNC4=NC=N3)=C2.O=P(O)(O)O
p65,0,0,11,0,"{9918209, 20717927, 24340014, 12767057, 23302291, 26182900, 15375156, 24561527, 17671195, 29308316, 19896093}","{24859008, 29463681, 25606026, 34782346, 29440272, 27007123, 35501470, 27539364, 30991141, 33215396, 28983590, 29424686, 36702002, 26044852, 34974135, 24759736, 36711864, 37094074, 24608443, 31330113, 23624258, 34172737, 34949827, 33162822, 36176467, 26324948, 30455393, 36641892, 30528103, 29343723, 10567538, 31975410, 29366780, 33781885, 30479742}",p65 is a synonym of RELA,,puerarin,,,,,,,stat,parthenolide,HY-L025-72,E10,HY-N0141,Parthenolide,(-)-Parthenolide,20554-84-1,248.32,Apoptosis; Autophagy; Mitophagy; NF-κB,Apoptosis; Autophagy; NF-κB,Parthenolide is a sesquiterpene lactone found in the medicinal herb Feverfew. Parthenolide exhibits anti-inflammatory activity by inhibiting NF-κB activation; also inhibits HDAC1 protein without affecting other class I/II HDACs.,C15H20O3,H2O : < 0.1 mg/mL (insoluble); DMSO : ≥ 100 mg/mL (402.71 mM),10mM,Cancer,Phase 2,C/C1=C\CC[C@@](C)(O2)[C@H]2[C@@H](OC(C3=C)=O)[C@H]3CC1
protein protein,0,0,11,0,"{26719042, 33505218, 26823495, 22900040, 32235821, 30594165, 32355831, 30881497, 31568570, 30278585, 28742845}","{35867655, 31720974, 9699856, 7583761, 36305426, 34754068, 33616410, 34597402, 25758752, 14976033, 36711980, 35084845, 16204849, 32588860, 37131839, 36416071, 15822920, 21956175, 28024402, 27935314, 12032084, 16412250, 15839835, 35746919, 35650157, 18539634, 37162611, 31239290, 32860796, 31582847, 22924434, 28726418, 36988562, 22136469, 24954007, 34255515, 34982556, 12359327, 34582690, 26006698, 24664238, 33138352, 31857841, 22788793, 27403962, 11911891, 37150933, 34661079, 28365532, 31931101, 28766941, 24832227, 11487468, 10716917, 19038968, 31920381, 23095041, 34995458, 31718149, 33705733, 28864776, 35402505, 24497428, 12198165, 30465816, 36656921, 36824856, 34236185, 27106081, 27390756, 35833124, 35371302, 24467243, 34378541, 24007471, 34152239, 24403256, 37119804, 33438526, 21568322, 24048450, 36378954, 36180820, 32805211, 29567837, 25452384, 28053347, 34540900, 33592170, 31085420, 26552700, 31914881, 31273347, 27219844, 27673482, 17694091, 28195723, 23752591, 10809234, 32080280, 35052443, 31364510, 31521697, 15994786, 26858406, 30067623, 20871596, 27142060, 26596782, 11028911, 30833074, 28757943, 16362936, 34438075, 30387133, 32669118, 34536441, 22498752, 36304339, 16940503, 25549280, 28300771, 31581671, 26629616, 34490864, 28205554, 29892083, 23543289}", ,,#N/A,,,,,,,stat,ly294002,HY-L025-4,F05,HY-10108,LY294002,,154447-36-6,307.34,Apoptosis; Autophagy; Casein Kinase; DNA-PK; PI3K,Apoptosis; Autophagy; Cell Cycle/DNA Damage; PI3K/Akt/mTOR; Stem Cell/Wnt,"LY294002 is a broad-spectrum inhibitor of PI3K with IC50s of 0.5, 0.57, and 0.97 μM for PI3Kα, PI3Kδ and PI3Kβ, respectively[1]. LY294002 also inhibits CK2 with an IC50 of 98 nM[2]. LY294002 is a competitive DNA-PK inhibitor that binds reversibly to the kinase domain of DNA-PK with an IC50 of 1.4?μM. LY294002 is an apoptosis activator[3].",C19H17NO3,DMSO : 50 mg/mL (162.69 mM; Need ultrasonic); Ethanol : 50 mg/mL (162.69 mM; Need ultrasonic),10mM,Cancer; Infection,No Development Reported,O=C1C=C(OC2=C1C=CC=C2C3=CC=CC=C3)N4CCOCC4
antiapoptotic,0,1,11,0,"{26497549, 20208558, 15956974, 12767057, 15028947, 25875797, 21840189, 17671195, 11839677, 36346366, 30555743}","{28950657, 29709701, 35308165, 24657799, 27406984, 35787399, 26658189, 36001806, 35883157, 24906137, 32161312, 31661600, 28468776, 34875179, 36652476, 31409615, 29156698, 27078884, 35153769, 26254443, 23576556, 30647404, 33837043, 29735668, 29764852}", ,,#N/A,,,,,,,stat,quercetin,HY-L025-72,F04,HY-N0146,Quercetin (dihydrate),,6151-25-3,338.27,Apoptosis; PI3K,Apoptosis; PI3K/Akt/mTOR,"Quercetin dihydrate, a natural flavonoid, is a stimulator of recombinant SIRT1 and a PI3K inhibitor with IC50s of 2.4 μM, 3.0 μM and 5.4 μM for PI3K γ, PI3K δ and PI3K β, respectively[1].",C15H14O9,DMSO : 100 mg/mL (295.63 mM; Need ultrasonic); H2O : 1 mg/mL (2.96 mM; ultrasonic and warming and heat to 80°C),10mM,Inflammation/Immunology; Cancer,Phase 4,O=C1C(O)=C(C2=CC=C(O)C(O)=C2)OC3=CC(O)=CC(O)=C13.[H]O[H].[H]O[H]
akt1,0,1,11,0,"{24186143, 36118824, 37181515, 25748236, 19801102, 35707377, 27919956, 35457111, 18783292, 37151998, 28573215}","{31632060, 36500678, 35787399, 36051080, 32678475, 27297869, 32371868, 29464061, 20864510}", ,,kaempferol,,,,,,,catenin,icg 001,HY-L025-43,H10,HY-14428,ICG-001,,780757-88-2,548.63,Apoptosis; β-catenin,Apoptosis; Stem Cell/Wnt,ICG-001 is an inhibitor of β-catenin/TCF mediated transcription. ICG-001 works by specifically binding to cyclic AMP response element-binding protein with an IC50 of 3 μM. ICG-001 selectively blocks the β-catenin/CBP interaction without interfering with the β-catenin/p300 interaction.,C33H32N4O4,DMSO : ≥ 50 mg/mL (91.14 mM),10mM,Cancer,No Development Reported,O=C(NCC1=CC=CC=C1)N2CCC(N([C@@]2(CN(C3=O)CC4=C5C=CC=CC5=CC=C4)[H])[C@H]3CC6=CC=C(C=C6)O)=O
